decade,genre,bad word,number of appearance
1920,Action,burn,1
1920,Action,fight,1
1920,Action,attack,1
1920,Action,slave,2
1920,Action,fat,1
1920,Action,gross,1
decade,genre,bad word,number of appearance
1930,Western,kill,11
1930,Western,fairy,1
1930,Western,girls,2
1930,Western,knife,8
1930,Western,whites,1
1930,Western,shooting,1
1930,Western,gun,1
1930,Western,dead,7
1930,Western,killed,8
1930,Western,death,3
1930,Western,fire,3
1930,Western,nasty,1
1930,Western,dirty,4
1930,Western,hole,2
1930,Western,tongue,1
1930,Western,blow,1
1930,Western,nipple,1
1930,Western,killing,1
1930,Western,idiot,1
1930,Western,shoot,6
1930,Western,lies,1
1930,Western,children's,1
1930,Western,die,1
1930,Western,laid,2
1930,Western,deposit,1
1930,Western,disease,1
1930,Western,whiskey,3
1930,Western,escort,2
1930,Western,kid,1
1930,Western,sick,4
1930,Western,drunken,1
1930,Western,squaw,1
1930,Western,fight,1
1930,Western,burn,1
1930,Western,murder,1
1930,Western,hussy,1
1930,Western,black,2
1930,Western,disturbed,1
1930,Western,killer,1
1930,Western,colored,1
1930,Western,terror,1
1930,Western,church,6
1930,Western,queer,1
1930,Western,bible,1
1930,Western,desire,1
decade,genre,bad word,number of appearance
1930,War,die,23
1930,War,enemy,10
1930,War,fight,23
1930,War,slaughter,2
1930,War,killed,16
1930,War,harder,1
1930,War,death,7
1930,War,kill,15
1930,War,assault,1
1930,War,attack,3
1930,War,blow,6
1930,War,died,3
1930,War,buried,4
1930,War,escort,1
1930,War,spit,1
1930,War,mad,9
1930,War,murder,1
1930,War,chin,2
1930,War,stupid,4
1930,War,whiz,1
1930,War,sick,13
1930,War,crack,3
1930,War,firing,3
1930,War,killing,1
1930,War,shoot,13
1930,War,dirty,6
1930,War,dead,13
1930,War,idiot,1
1930,War,torture,1
1930,War,tongue,1
1930,War,fire,7
1930,War,lies,2
1930,War,faith,1
1930,War,gay,1
1930,War,gun,2
1930,War,slave,3
1930,War,smack,1
1930,War,hole,1
1930,War,drunk,6
1930,War,cigarette,1
1930,War,ho,1
1930,War,girls,10
1930,War,bigger,1
1930,War,terror,1
1930,War,suck,1
1930,War,nasty,3
1930,War,black,4
1930,War,angry,1
1930,War,fear,2
1930,War,babies,3
1930,War,refugee,1
1930,War,knife,1
1930,War,burn,2
1930,War,balls,4
1930,War,color,1
1930,War,muff,1
1930,War,hell,2
