score,bad word,number of appearance
4,destroy,57
4,enemy,23
4,killed,186
4,shooting,27
4,screw,16
4,crash,16
4,burn,32
4,boom,4
4,damn,187
4,booty,9
4,sexual,30
4,hell,429
4,dick,13
4,piss,21
4,fucking,161
4,goddamn,141
4,stupid,77
4,blow,72
4,crap,21
4,shit,95
4,dead,155
4,fuck,143
4,laid,19
4,kill,389
4,cocktail,8
4,banging,9
4,killer,21
4,ass,137
4,rape,5
4,disease,17
4,die,123
4,killing,71
4,executed,5
4,criminals,8
4,died,80
4,gun,99
4,fear,52
4,shoot,75
4,assault,3
4,black,63
4,scum,1
4,bitchy,1
4,drunken,7
4,terrorist,5
4,welfare,10
4,children's,11
4,sick,80
4,lies,21
4,asses,8
4,arse,2
4,gay,32
4,fag,13
4,suck,21
4,cock,7
4,loser,8
4,sex,76
4,angry,30
4,pussy,12
4,slut,3
4,incest,2
4,balls,16
4,color,19
4,anal,3
4,gross,9
4,knife,15
4,fetish,2
4,bitch,40
4,condom,4
4,hymen,1
4,drunk,22
4,dumb,34
4,goddamned,2
4,naked,25
4,sperm,4
4,sexy,17
4,fairy,9
4,limey,2
4,murderer,4
4,drug,31
4,death,117
4,butt,42
4,foursome,1
4,mad,68
4,cocky,1
4,funeral,10
4,cemetery,9
4,remains,17
4,kills,19
4,weapon,14
4,murder,27
4,violence,12
4,explosion,6
4,criminal,11
4,faith,21
4,execution,5
4,crime,17
4,desire,18
4,god,36
4,cancer,8
4,pros,1
4,vomit,2
4,diseases,3
4,moron,4
4,redneck,1
4,bullshit,16
4,bombs,11
4,slimeball,1
4,fucked,28
4,breast,9
4,escort,6
4,lesbian,6
4,bigger,31
4,sucker,9
4,dirty,35
4,beast,11
4,radical,4
4,women's,7
4,illegal,8
4,horny,12
4,minority,2
4,bugger,1
4,hook,18
4,tongue,10
4,virgin,7
4,doom,1
4,wop,1
4,boobs,5
4,tampon,1
4,pot,11
4,servant,6
4,swallow,9
4,slaughter,3
4,pee-pee,2
4,whore,26
4,raped,3
4,ho,1
4,asshole,10
4,devil,18
4,adult,5
4,pissing,6
4,tits,6
4,crack,15
4,gin,5
4,pissed,19
4,stroke,7
4,panties,3
4,nasty,19
4,jiggy,1
4,penis,4
4,titty,1
4,peck,4
4,shite,1
4,snot,2
4,erection,2
4,abortion,1
4,assholes,3
4,motherfucking,2
4,bitches,7
4,babe,23
4,backdoor,3
4,snatch,1
4,idiot,9
4,dope,8
4,cocaine,4
4,blind,37
4,reject,4
4,toilet,16
4,liquor,13
4,slave,8
4,nude,1
4,pee,6
4,chin,7
4,kinky,4
4,herpes,2
4,lingerie,3
4,pubic,4
4,masturbate,9
4,clitoris,2
4,orgasm,6
4,oral,4
4,rapist,4
4,faggot,2
4,whiskey,11
4,joint,15
4,homosexual,2
4,church,20
4,beaver,8
4,pecker,2
4,jackass,1
4,bitching,1
4,crappy,3
4,shits,1
4,poverty,5
4,poontang,1
4,sexually,3
4,semen,4
4,buried,25
4,suicide,7
4,cigarette,7
4,conspiracy,3
4,period,3
4,hooker,4
4,dies,8
4,horn,7
4,whitey,8
4,orgy,1
4,amateur,1
4,queer,3
4,assassin,4
4,narcotic,1
4,heroin,2
4,reefer,2
4,homicide,2
4,torture,7
4,harder,14
4,bomb,17
4,tramp,3
4,masturbating,1
4,whites,5
4,doo-doo,2
4,motherfucker,3
4,crimes,7
4,pistol,1
4,spooge,1
4,marijuana,1
4,porno,3
4,abuse,5
4,crabs,2
4,fucks,4
4,liberal,1
4,prick,1
4,failure,3
4,lynch,2
4,itch,8
4,retarded,1
4,colored,6
4,disturbed,5
4,testicles,2
4,poop,3
4,rabbi,1
4,porn,2
4,erect,3
4,boner,3
4,weenie,1
4,teat,1
4,slimebucket,1
4,heterosexual,2
4,execute,2
4,fart,5
4,titties,1
4,sissy,2
4,puke,2
4,turd,1
4,shithouse,1
4,boob,1
4,lez,1
4,whop,1
4,ethnic,1
4,smut,1
4,prostitute,3
4,smack,5
4,randy,2
4,hijacking,1
4,xxx,1
4,buggered,2
4,shitting,1
4,coloured,1
4,corruption,1
4,fraud,2
4,hijack,2
4,american,3
4,nigger,4
4,niggers,4
4,nigga,2
4,rump,1
4,pimp,3
4,nookie,1
4,addicts,2
4,slutty,2
4,bombers,2
4,interracial,1
4,orgies,1
4,mafia,1
4,demon,6
4,slime,1
4,squaw,1
4,deposit,4
4,sniper,1
4,fungus,7
4,italiano,1
4,communist,1
4,commie,1
4,blacks,1
4,honky,1
4,assassinate,1
4,jade,1
4,fondle,1
4,terror,1
4,bible,4
4,vibrator,1
4,vulva,1
4,ejaculation,1
4,addict,2
4,christ,1
4,transvestite,2
4,negro's,1
4,fuckers,1
4,gangbang,2
4,mexican,1
4,dumbass,1
4,honk,1
4,molest,1
4,nip,1
