score,bad word,number of appearance
7,violence,58
7,sex,211
7,asshole,47
7,fuck,971
7,bullshit,82
7,crappy,6
7,fire,755
7,burn,271
7,women's,63
7,shit,547
7,porn,10
7,fight,975
7,screw,113
7,moron,14
7,horny,16
7,blind,226
7,kills,104
7,died,602
7,lingerie,5
7,criminals,34
7,liquor,90
7,killer,99
7,blow,495
7,prick,17
7,mad,379
7,bigger,273
7,buried,213
7,death,707
7,murder,422
7,execution,29
7,idiot,101
7,gross,33
7,desire,140
7,erect,7
7,faith,190
7,kid,582
7,attack,278
7,boobs,8
7,nasty,113
7,harder,112
7,dope,62
7,goddamn,656
7,destroy,276
7,knife,173
7,girls,675
7,breast,27
7,fear,356
7,gay,100
7,enemy,226
7,black,707
7,lies,218
7,color,135
7,dumb,199
7,crime,212
7,crap,93
7,shits,9
7,church,258
7,drunken,48
7,bitch,228
7,period,59
7,boobies,1
7,assholes,21
7,disease,57
7,bomb,132
7,pot,91
7,reject,29
7,god,140
7,honkers,2
7,firing,110
7,harem,5
7,chin,40
7,disturbed,64
7,failure,66
7,sob,8
7,pee,14
7,swallow,63
7,torture,66
7,spit,107
7,whore,46
7,jesus,1
7,devil,168
7,babies,58
7,nude,17
7,jihad,5
7,racial,15
7,terrorist,26
7,children's,60
7,cancer,37
7,tinkle,2
7,sexy,43
7,drunk,265
7,bible,27
7,deposit,58
7,cigarette,137
7,backseat,5
7,bra,15
7,tongue,122
7,queer,28
7,loser,17
7,sexual,92
7,conservative,19
7,pissed,56
7,adult,32
7,crimes,44
7,baptist,7
7,fairy,51
7,propaganda,15
7,beast,53
7,kraut,5
7,scum,28
7,poverty,29
7,conspiracy,26
7,negro,8
7,racist,8
7,gun,597
7,colored,79
7,chinaman,1
7,raped,59
7,criminal,145
7,murderer,71
7,demon,25
7,excrement,3
7,dies,61
7,itch,15
7,suicide,132
7,panties,21
7,pissing,18
7,assault,39
7,failed,104
7,welfare,26
7,whites,19
7,escort,71
7,nigger,58
7,niggers,31
7,remains,100
7,ho,30
7,sissy,10
7,weapon,61
7,gin,43
7,molest,7
7,fart,19
7,servant,60
7,slave,114
7,piss,69
7,stroke,51
7,marijuana,13
7,bitching,8
7,abuse,31
7,balls,98
7,fucker,14
7,joint,100
7,fucks,19
7,dick,49
7,cocksucker,6
7,goddamned,45
7,arse,27
7,bugger,15
7,crash,71
7,cocktail,41
7,whiskey,67
7,pistol,57
7,communist,21
7,executed,26
7,spank,15
7,slut,13
7,limey,7
7,orgies,3
7,hook,85
7,explosion,22
7,bombs,59
7,hustler,4
7,liberal,25
7,suck,78
7,protestant,2
7,slaughter,24
7,pussy,48
7,cocky,17
7,vomit,10
7,dive,58
7,penetration,6
7,hooker,5
7,sweetness,14
7,sucker,62
7,sodom,1
7,satan,1
7,christian,7
7,minority,13
7,aroused,7
7,terror,32
7,slime,8
7,catholic,2
7,banging,18
7,horn,44
7,cock,35
7,redneck,7
7,crotch,7
7,uterus,2
7,tampon,2
7,american,2
7,radical,17
7,illegal,44
7,shitting,23
7,boom,43
7,pimp,22
7,amateur,37
7,drug,100
7,virgin,31
7,quickie,5
7,playboy,2
7,snot,3
7,motherfucking,88
7,homicide,24
7,cemetery,17
7,bitches,28
7,greaseball,3
7,cunt,6
7,asses,28
7,snatch,23
7,tits,26
7,fuckers,7
7,motherfucker,47
7,hillbillies,4
7,rape,67
7,hostage,19
7,refugee,9
7,bombing,33
7,shag,10
7,tang,1
7,slant,3
7,tramp,25
7,sexually,17
7,smack,58
7,diseases,10
7,poo,3
7,gringo,5
7,booty,5
7,nigga,22
7,babe,34
7,anus,1
7,execute,23
7,titty,5
7,sniggering,4
7,fetish,4
7,stroking,7
7,fondle,3
7,kinky,5
7,fag,11
7,honky,16
7,turd,6
7,pubic,4
7,bigass,1
7,incest,2
7,fore,5
7,syphilis,2
7,sniper,5
7,booby,16
7,roach,4
7,puke,16
7,bitchy,3
7,peck,20
7,rapist,3
7,pikey,8
7,shite,3
7,faggot,20
7,penis,10
7,addicts,4
7,gob,4
7,masturbate,4
7,cum,5
7,porno,7
7,titties,4
7,erection,3
7,oral,6
7,gyp,6
7,hookers,5
7,assassinate,7
7,reefer,3
7,heroin,17
7,wop,11
7,homo,5
7,pornography,8
7,shithead,3
7,beaver,5
7,whitey,3
7,retarded,8
7,penthouse,13
7,doom,14
7,blackout,8
7,skank,4
7,hobo,9
7,coloured,13
7,lynch,6
7,jade,17
7,narcotic,3
7,whiz,10
7,nip,18
7,sodomy,1
7,brothel,4
7,whorehouse,7
7,addict,4
7,stringer,1
7,faeces,2
7,crabs,10
7,wanking,3
7,taboo,6
7,fraud,13
7,honk,6
7,diddle,16
7,sooty,2
7,damnation,8
7,assassin,8
7,spic,3
7,buggered,3
7,abo,1
7,whit,4
7,transvestite,6
7,smut,4
7,corruption,32
7,creamy,4
7,prostitute,12
7,poop,5
7,rabbi,8
7,licker,1
7,geezer,10
7,arsehole,1
7,pansies,2
7,lowlife,7
7,commie,5
7,nigger's,6
7,republican,3
7,shitter,2
7,crapper,2
7,dickhead,5
7,shitfaced,4
7,jugs,7
7,nuke,5
7,premature,10
7,wog,2
7,fu,11
7,fuckhead,1
7,cocaine,7
7,bunghole,1
7,blacks,17
7,fairies,2
7,peckerwood,3
7,doo-doo,1
7,lotion,7
7,ethnic,2
7,pooper,1
7,fungus,6
7,whop,1
7,wanker,7
7,twat,2
7,libido,2
7,henhouse,1
7,sodomite,1
7,executioner,4
7,squaw,9
7,kink,3
7,bestial,3
7,tit,10
7,muff,4
7,chink,1
7,enema,1
7,pros,3
7,condom,2
7,homosexual,12
7,wank,1
7,masturbating,2
7,assassination,10
7,vagina,1
7,orgasm,2
7,lesbian,3
7,pixie,3
7,shat,2
7,pussies,3
7,puss,5
7,swastika,3
7,radicals,5
7,boob,4
7,urine,3
7,jackass,5
7,fatso,1
7,urinate,3
7,twinkie,6
7,abortion,7
7,sluts,2
7,testicles,1
7,pussycat,5
7,bi,1
7,schlong,2
7,slimeball,1
7,bombers,23
7,hussy,2
7,orgy,5
7,moles,2
7,niggard,1
7,horseshit,1
7,backdoor,1
7,fistfuck,1
7,pee-pee,4
7,pecker,2
7,hijack,4
7,hijacking,4
7,spick,2
7,foursome,1
7,scat,2
7,coon,10
7,dago,3
7,molester,1
7,twink,2
7,retard,6
7,bondage,4
7,peepshow,1
7,mulatto,1
7,intercourse,4
7,rump,2
7,sperm,3
7,dong,1
7,chinese,4
7,german,2
7,slopehead,7
7,coolie,4
7,flange,2
7,shithouse,5
7,semen,2
7,gook,7
7,barf,2
7,robber,9
7,bohunk,1
7,dipstick,1
7,bollock,1
7,shagging,1
7,nazi,1
7,headlights,3
7,pom,1
7,european,1
7,latin,3
7,darkie,1
7,looser,1
7,meth,2
7,wetback,1
7,interracial,1
7,dickweed,1
7,slutty,2
7,sexed,1
7,gangbang,1
7,molestation,1
7,skanky,1
7,scag,1
7,boner,1
7,alla,1
7,ribbed,1
7,mexican,1
7,ejaculation,1
7,zipperhead,1
7,poon,1
7,dyke,3
7,tranny,1
7,weenie,1
7,copulate,1
7,dipshit,1
7,anal,2
7,nook,2
7,pimped,1
7,asian,1
7,mafia,4
7,bisexual,1
7,heterosexual,1
7,herpes,3
7,yankee,3
7,raghead,1
7,japanese,1
7,fornicate,1
7,paki,1
7,choad,1
7,threesome,1
7,cooly,1
7,blowjob,1
7,tosser,1
score,bad word,number of appearance
8,drunk,19
8,killed,158
8,failure,5
8,kill,325
8,blind,18
8,sick,71
8,died,65
8,dies,13
8,shit,109
8,die,97
8,violence,12
8,fear,35
8,stroke,3
8,explosion,4
8,desire,14
8,knife,38
8,destroy,49
8,sex,16
8,faith,16
8,virgin,6
8,naked,3
8,protestant,1
8,murder,63
8,attack,41
8,vagina,1
8,bigger,27
8,dead,136
8,kills,16
8,fight,79
8,vulva,1
8,stupid,50
8,vomit,2
8,girls,68
8,fucking,483
8,fuck,258
8,shooting,21
8,bombers,1
8,bomb,12
8,color,10
8,enemy,30
8,shoot,72
8,joint,18
8,failed,11
8,hell,149
8,damn,74
8,murderer,20
8,drug,18
8,mad,37
8,bombs,4
8,torture,12
8,gun,62
8,fire,60
8,toilet,5
8,blow,47
8,fat,38
8,sexual,9
8,gross,4
8,fuckers,2
8,goddamn,74
8,ass,69
8,kid,108
8,black,85
8,goddamned,6
8,weapon,10
8,butt,2
8,killing,51
8,burn,23
8,asshole,10
8,deposit,3
8,laid,24
8,death,77
8,buried,27
8,suicide,14
8,crime,25
8,aroused,1
8,women's,12
8,crimes,10
8,children's,6
8,idiot,9
8,dirty,38
8,assault,7
8,devil,15
8,servant,5
8,doom,2
8,tongue,9
8,lies,18
8,demon,4
8,remains,7
8,horn,5
8,reject,4
8,smack,3
8,funeral,8
8,liberal,3
8,bitch,23
8,amateur,3
8,whore,11
8,jade,3
8,fairy,10
8,booby,3
8,slave,3
8,gin,7
8,adult,1
8,angry,17
8,hole,18
8,banging,5
8,killer,11
8,rump,2
8,pansies,1
8,spit,15
8,gay,2
8,tramp,7
8,creamy,1
8,bullshit,11
8,pussy,10
8,pot,13
8,sexy,3
8,dive,1
8,nigger,12
8,bitches,3
8,cocktail,7
8,dick,5
8,prick,5
8,pissed,16
8,fucked,38
8,cocksucker,3
8,period,1
8,criminal,18
8,conspiracy,2
8,assassin,1
8,shitting,1
8,assassinate,2
8,refugee,1
8,suck,4
8,pussycat,1
8,escort,5
8,balls,12
8,greaseball,2
8,spic,4
8,harder,10
8,dike,1
8,dumb,13
8,fucker,7
8,whiskey,4
8,scum,6
8,marijuana,1
8,hustler,1
8,pimp,4
8,liquor,15
8,asses,7
8,bombing,5
8,firing,9
8,disturbed,4
8,lingerie,1
8,beast,7
8,hook,17
8,nasty,9
8,criminals,6
8,welfare,4
8,cock,3
8,piss,11
8,abuse,4
8,rape,8
8,ethnic,1
8,sodomise,1
8,transsexual,1
8,lotion,5
8,penis,1
8,cancer,12
8,racist,4
8,crap,1
8,propaganda,1
8,motherfucking,9
8,shits,2
8,niglet,1
8,niggers,8
8,illegal,5
8,nip,3
8,racial,2
8,kike,1
8,god,11
8,peckerwood,2
8,swallow,5
8,sexually,1
8,dope,8
8,colored,2
8,queer,1
8,church,10
8,homicide,6
8,cemetery,6
8,babies,11
8,motherfucker,5
8,motherfuck,1
8,moron,2
8,cigarette,18
8,screw,7
8,pee,1
8,jugs,1
8,loser,1
8,sperm,1
8,hijacking,2
8,hooker,2
8,backseat,1
8,cocaine,2
8,raped,1
8,disease,3
8,gook,7
8,wetback,1
8,execute,5
8,nipple,1
8,dickless,1
8,ho,4
8,oral,2
8,drunken,4
8,rapist,1
8,crash,4
8,nigger's,1
8,abortion,21
8,assassination,2
8,payo,6
8,poverty,4
8,terror,7
8,crack,10
8,porno,1
8,radical,2
8,jackass,2
8,lowlife,1
8,execution,1
8,dink,2
8,cocky,1
8,slaughter,4
8,assholes,2
8,masterbate,1
8,coloured,1
8,husky,1
8,fagot,1
8,pissing,2
8,quickie,1
8,masturbating,1
8,henhouse,1
8,bra,1
8,damnation,1
8,fraud,1
8,horny,1
8,slut,1
8,rabbi,1
8,poop,1
8,goyim,1
8,pansy,2
8,cunt,1
8,fart,1
8,diseases,1
8,molest,1
8,hoes,1
8,fore,1
8,boom,1
8,threesome,1
8,panties,3
8,pistol,1
8,slime,1
8,whorehouse,1
8,blackout,1
8,breast,4
8,condom,1
8,uterus,1
8,babe,1
8,anus,1
8,terrorist,3
8,titty,1
8,sniggering,1
8,latin,1
8,snatch,1
8,executed,1
8,sucker,1
8,reefer,1
8,conservative,1
8,boob,1
8,puss,1
8,chinese,1
8,backdoor,1
8,booty,1
8,brothel,1
8,whiz,1
