decade,score,bad word,number of appearance
1930,6,faith,14
1930,6,blind,13
1930,6,hole,8
1930,6,burn,10
1930,6,firing,5
1930,6,sucker,4
1930,6,crash,2
1930,6,diddle,1
1930,6,buried,14
1930,6,servant,7
1930,6,laid,11
1930,6,die,35
1930,6,violence,1
1930,6,terror,5
1930,6,slaughter,3
1930,6,criminal,6
1930,6,execution,3
1930,6,poverty,1
1930,6,queer,3
1930,6,funeral,5
1930,6,drunken,2
1930,6,pot,2
1930,6,virgin,3
1930,6,children's,3
1930,6,disturbed,4
1930,6,fairy,4
1930,6,knife,12
1930,6,gay,7
1930,6,toilet,2
1930,6,period,3
1930,6,crime,10
1930,6,killing,11
1930,6,failed,3
1930,6,angry,7
1930,6,whites,1
1930,6,nasty,8
1930,6,blow,17
1930,6,nipple,1
1930,6,idiot,2
1930,6,assassinate,2
1930,6,gin,3
1930,6,damn,5
1930,6,escort,4
1930,6,color,1
1930,6,assault,1
1930,6,spit,2
1930,6,chin,4
1930,6,whiz,1
1930,6,crack,8
1930,6,torture,3
1930,6,crimes,2
1930,6,cocktail,5
1930,6,god,1
1930,6,hell,3
1930,6,women's,6
1930,6,cigarette,5
1930,6,murderer,5
1930,6,dies,4
1930,6,pistol,1
1930,6,church,6
1930,6,whiskey,5
1930,6,radical,2
1930,6,dumb,9
1930,6,hook,3
1930,6,naked,2
1930,6,amateur,2
1930,6,slave,1
1930,6,jade,1
1930,6,joint,1
1930,6,sob,3
1930,6,screw,1
1930,6,squaw,1
1930,6,liquor,3
1930,6,failure,2
1930,6,butt,1
1930,6,tramp,3
1930,6,demon,2
1930,6,dive,1
1930,6,smack,1
1930,6,nude,1
1930,6,spank,4
1930,6,chink,1
1930,6,robber,1
1930,6,adult,2
1930,6,execute,2
1930,6,puss,1
1930,6,doom,1
1930,6,orgy,2
1930,6,swallow,1
1930,6,explosion,1
1930,6,gross,1
1930,6,bomb,1
1930,6,fairies,1
1930,6,ass,1
1930,6,sex,1
1930,6,welfare,1
1930,6,dope,1
decade,score,bad word,number of appearance
1930,7,knife,17
1930,7,girls,38
1930,7,gay,11
1930,7,fear,18
1930,7,enemy,9
1930,7,sick,32
1930,7,harder,2
1930,7,mad,34
1930,7,angry,11
1930,7,killed,100
1930,7,died,16
1930,7,blow,22
1930,7,black,27
1930,7,lies,10
1930,7,ass,1
1930,7,laid,10
1930,7,bigger,9
1930,7,fire,52
1930,7,nasty,16
1930,7,dirty,24
1930,7,fight,49
1930,7,idiot,6
1930,7,hillbillies,1
1930,7,shooting,19
1930,7,dead,85
1930,7,fat,21
1930,7,death,38
1930,7,die,36
1930,7,damn,3
1930,7,kill,136
1930,7,dies,8
1930,7,torture,5
1930,7,killing,19
1930,7,church,6
1930,7,gin,3
1930,7,gun,33
1930,7,kid,22
1930,7,pistol,2
1930,7,murder,39
1930,7,dumb,11
1930,7,swallow,3
1930,7,buried,9
1930,7,murderer,13
1930,7,kills,11
1930,7,destroy,14
1930,7,faith,9
1930,7,scum,2
1930,7,desire,6
1930,7,devil,9
1930,7,liberal,1
1930,7,blind,3
1930,7,escort,7
1930,7,god,5
1930,7,attack,9
1930,7,failed,6
1930,7,servant,3
1930,7,crime,11
1930,7,stupid,26
1930,7,executed,1
1930,7,aroused,3
1930,7,demon,1
1930,7,shoot,59
1930,7,color,9
1930,7,whiskey,6
1930,7,drunk,19
1930,7,smack,7
1930,7,cigarette,10
1930,7,stroke,7
1930,7,chin,10
1930,7,drunken,7
1930,7,bomb,2
1930,7,geezer,1
1930,7,boom,2
1930,7,killer,3
1930,7,burn,21
1930,7,criminal,6
1930,7,cemetery,1
1930,7,spit,4
1930,7,disturbed,5
1930,7,deposit,3
1930,7,disease,2
1930,7,squaw,1
1930,7,liquor,3
1930,7,snatch,3
1930,7,butt,1
1930,7,hole,4
1930,7,balls,6
1930,7,drug,2
1930,7,puss,1
1930,7,sucker,6
1930,7,booby,1
1930,7,crash,1
1930,7,funeral,5
1930,7,breast,3
1930,7,crimes,2
1930,7,sissy,2
1930,7,joint,11
1930,7,slave,10
1930,7,crack,10
1930,7,ho,2
1930,7,terror,2
1930,7,queer,6
1930,7,hell,9
1930,7,naked,1
1930,7,itch,2
1930,7,firing,3
1930,7,tinkle,1
1930,7,amateur,1
1930,7,failure,7
1930,7,hook,6
1930,7,welfare,2
1930,7,horn,2
1930,7,remains,2
1930,7,molest,1
1930,7,abuse,1
1930,7,spank,1
1930,7,tongue,7
1930,7,erect,1
1930,7,whiz,4
1930,7,doom,1
1930,7,suck,1
1930,7,babies,3
1930,7,refugee,1
1930,7,muff,1
1930,7,poverty,1
1930,7,screw,1
1930,7,sexed,1
1930,7,cum,1
1930,7,conspiracy,2
1930,7,execution,3
1930,7,conservative,1
1930,7,sex,7
1930,7,pot,4
1930,7,criminals,1
1930,7,boner,1
1930,7,jade,1
1930,7,hobo,1
1930,7,gob,1
1930,7,banging,1
1930,7,robber,1
1930,7,nip,1
1930,7,execute,1
1930,7,tramp,1
1930,7,coloured,1
1930,7,chinese,2
1930,7,beast,2
1930,7,virgin,1
1930,7,violence,1
1930,7,prick,1
1930,7,women's,3
1930,7,shit,1
1930,7,whites,1
1930,7,propaganda,2
1930,7,period,1
decade,score,bad word,number of appearance
1930,8,black,1
1930,8,murderer,10
1930,8,crime,3
1930,8,terror,1
1930,8,failure,1
1930,8,criminal,2
1930,8,dirty,2
1930,8,fear,1
1930,8,kid,1
1930,8,kill,4
1930,8,crimes,2
1930,8,sex,1
1930,8,homicide,3
1930,8,killer,2
1930,8,murder,5
1930,8,color,1
1930,8,failed,1
1930,8,hell,2
1930,8,laid,1
1930,8,dead,1
1930,8,dies,1
1930,8,girls,1
1930,8,devil,1
1930,8,cigarette,2
1930,8,damn,6
1930,8,crack,1
1930,8,death,2
1930,8,destroy,1
1930,8,sick,1
1930,8,killing,1
1930,8,burn,1
